"African Online Championships, Feb. 2021.  Sections grouped into one.",,,,,,,,,** Uses all turns from 12 to 60 in all games **,,,,,,,,UW = unit weights,,,,,,,,,
Stockfish 7 with unit weights,,,,,,,,,Shortcut for Rapid over eliminating book by 2300+,,,,,,,,EWN = weighted by expectation loss,,,,,,,,,
"Ratings are FIDE Standard via lookup where possible. Sub 175 for G35 Rapid, add 150 for pandemic lag, add 25 for uncertainty = same rating",,,,,,,,,,,,,,,,,,,,,,,,,,
IPR12 = Intrinsic Performance Rating starting at turn 12.,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Move-Match, Equal-Optimal Value, and Average Scaled Difference (MMZ,EVZ,ASDZ) are combined into the official CombZ score by a rule that is now slightly rating-dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,
"ELWZ is like ASDZ but in units of ""expectation loss"" rather than centipawn value.  It is not calibrated and not included in CombZ but is related to an alternative weighting scheme ""EWN"" directed against ""smart cheating.""",,,,,,,,,,,,,,,,,,,,,,,,,,
PredZ is a new provisional test for (un)predictability that is intended to be less dependent on a particular engine.,,,,,,,,,,,,,,,,,,,,,,,,,,
The T2 and T3 tests are not calibrated and are positively biased by 0.30--0.50 on average.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Not calibrated---ignore,,,,,,,
Name,Rating,Rating Used,IPR12,CombZ,PredZ,#turns,wtfactor,IPR diff,2sigma,ChallFaced,s,c,MMZ,EVZ,ASDZ,ELWZ,Engine,Weights,T2Z,T3Z,T3thr50Z,sOfIPR,cOfIPR,CombZ+,Pred+,
DoveMegan                ,1230,1230,294,-1.22,-0.76,83,1,-911,669,1184.3,0.030719,0.205216,-0.48,-0.59,-2.28,-2.14,    SF7,   UW,-0.68,-1.33,-1.05,0.0943951969155338,0.266830168391217,0.00,0.00,0
DuPlessisAnika           ,1541,1541,1413,-0.16,0.21,283,1,-103,324,1341,0.04168,0.293571,0.08,-0.07,-0.45,-0.60,    SF7,   UW,0.57,1.90,1.41,0.0574271413623461,0.32052697936681,0.00,0.21,0
DuttDakshesh             ,1549,1549,1198,-1.86,-1.84,233,1,-326,314,1483,0.136621,0.401830,-1.75,-1.83,-1.56,-1.70,    SF7,   UW,-1.50,-1.36,-1.97,0.0642519372359885,0.310209897722706,0.00,0.00,0
DuttLakshita             ,1499,1499,1030,-0.19,0.20,208,1,-444,447,1352.2,0.015195,0.215235,0.39,0.36,-1.29,-0.93,    SF7,   UW,-0.12,-0.12,-0.36,0.0696768650726669,0.302148178112429,0.00,0.20,0
EbersohnRaymond          ,1726,1726,1716,1.11,0.94,211,1,15,393,1618.8,0.004552,0.206105,1.46,1.55,0.06,0.13,    SF7,   UW,0.67,0.54,0.33,0.048033512130002,0.33506686652106,1.11,0.94,0
EfentakisKatina          ,1376,1376,561,-1.91,-1.19,207,1,-790,424,1265.9,0.049801,0.244113,-1.20,-1.27,-2.78,-2.87,    SF7,   UW,-1.13,-0.69,-1.33,0.0852489142750982,0.279642544200406,0.00,0.00,0
ElKouriAbdallahlamine    ,1413,1413,158,-2.25,-1.81,83,1,-1230,645,1392.7,0.024488,0.189335,-1.14,-1.30,-3.76,-3.49,    SF7,   UW,-2.28,-2.96,-2.87,0.0991323974596487,0.260304014420992,0.00,0.00,0
ElierAli                 ,2037,2037,1787,-1.45,-1.83,223,1,-225,292,1868.7,0.089425,0.426010,-1.50,-1.22,-1.27,-0.87,    SF7,   UW,-1.75,-0.82,-0.22,0.0458703584336825,0.338473902784927,0.00,0.00,0
FarnelaNuzelaZacarias    ,1431,1431,1361,-0.42,-0.19,244,1,-45,326,1301.4,0.062934,0.324062,-0.26,-0.63,-0.27,-0.33,    SF7,   UW,0.34,0.41,-0.08,0.0590656621151006,0.318031685201725,0.00,0.00,0
FernandesAvelino         ,1887,1887,2355,1.50,1.07,257,1,493,236,1723.1,0.039398,0.402630,1.24,0.85,2.06,1.57,    SF7,   UW,1.56,1.80,2.10,0.0290844444715283,0.365730192895863,1.50,1.07,0
